order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
52,80,12,Rava Idli,2022-11-08,18:53:11,Pending,322.29
53,256,19,Chicken Biryani,2023-10-25,00:21:13,Delivered,777.6
54,440,4,Egg Curry,2020-11-19,07:07:52,Pending,563.76
55,343,15,Veg Pulao,2024-09-03,07:38:29,Delivered,108.92
56,409,25,Chicken Boti,2024-07-05,09:07:43,Delivered,1410.21
57,193,22,Momos,2024-01-15,08:01:21,Delivered,992.88
58,362,22,Bhel Puri,2022-02-01,10:56:12,Cancelled,691.8
59,495,26,Gobi Manchurian,2023-01-13,09:58:26,Pending,992.22
60,215,13,Gajar Halwa,2025-12-24,07:17:39,Delivered,713.11
61,50,30,Butter Garlic Naan,2024-09-14,10:05:05,Pending,1468.16
62,347,28,Chicken Pulao,2024-10-06,18:58:49,Pending,1291.47
63,474,24,Prawn Fry,2024-08-23,01:41:04,Pending,482.49
64,332,7,Bhindi Masala,2024-06-15,22:33:20,Pending,1471.3
65,194,10,Masala Omelette,2025-03-16,09:30:58,Delivered,806.15
66,262,25,Chicken Burger,2021-08-25,15:59:59,Cancelled,595.63
67,293,28,Sambar,2025-08-01,18:04:12,Delivered,1468.4
68,184,18,Mutton Biryani,2025-05-04,05:54:59,Cancelled,442.12
69,327,2,Masala Papad,2025-12-16,20:11:45,Pending,989.28
70,323,24,Chicken Salad,2024-07-12,15:21:25,Cancelled,266.51
71,456,6,Butter Garlic Naan,2023-01-16,21:22:21,Delivered,500.4
72,319,13,Egg Curry,2024-08-05,13:39:04,Cancelled,714.02
73,360,6,Chicken Roll,2018-08-20,18:45:57,Delivered,642.1
74,418,13,Chicken Kebabs,2022-05-15,19:07:22,Pending,56.38
75,415,6,Aloo Gobi,2023-08-14,16:16:56,Pending,606.9
76,75,2,Chicken Biryani,2023-08-12,16:05:49,Cancelled,639.91
77,187,2,Butter Chicken,2024-04-03,16:25:51,Delivered,198.01
78,5,10,Masala Chai,2024-05-22,22:46:37,Delivered,1093.43
79,306,14,Veg Pulao,2023-06-25,13:27:45,Cancelled,1073.17
80,369,10,Chicken Pakora,2023-08-12,11:55:54,Pending,1497.62
81,202,27,Pav Bhaji,2022-03-08,02:08:25,Delivered,968.9
82,50,28,Chicken Korma,2020-08-08,21:43:42,Delivered,407.07
83,478,22,Kulfi,2021-01-23,12:03:06,Pending,351.41
84,422,25,Mutton Curry,2025-04-24,09:59:22,Cancelled,395.16
85,99,13,Biryani Rice,2024-07-30,10:52:59,Delivered,152.62
86,425,17,Veg Soup,2025-06-17,19:04:48,Pending,663.09
87,338,26,Corn Bhel,2020-11-10,09:22:43,Pending,997.25
88,102,1,Chicken Saagwala,2025-06-12,14:14:45,Cancelled,446.12
89,413,23,Corn Bhel,2023-10-02,18:55:07,Delivered,192.68
90,120,18,Kheer,2023-08-23,00:28:59,Cancelled,1409.47
91,217,1,Fish Tikka,2025-10-08,00:10:50,Pending,1264.25
92,28,13,Chole Bhature,2023-09-18,04:53:08,Delivered,656.51
93,249,17,Prawn Fry,2025-03-17,03:44:14,Pending,1046.31
94,203,18,Chicken Seekh Kabab,2024-05-05,03:43:56,Cancelled,763.8
95,216,18,Chole Bhature,2024-03-17,08:19:17,Pending,235.0
96,297,10,Rogan Josh,2021-07-13,15:13:42,Pending,554.53
97,30,8,Chutney,2022-05-29,06:21:20,Pending,1444.96
98,165,17,Chicken Biryani,2019-08-21,04:21:56,Delivered,204.07
99,268,15,Masala Chai,2022-02-19,03:15:05,Cancelled,1106.17
100,38,26,Chicken Wings,2021-07-15,07:01:23,Delivered,1486.24
101,200,18,Chicken Kebabs,2021-02-24,21:42:36,Delivered,530.33
102,471,13,Veg Pulao,2025-01-11,09:18:05,Delivered,1451.17
103,207,20,Veg Pulao,2023-12-24,13:29:24,Pending,306.24
104,323,10,Veg Manchurian,2023-01-18,07:31:34,Delivered,272.9
105,73,10,Stuffed Paratha,2022-03-31,18:34:44,Delivered,94.19
106,110,7,Pani Puri,2022-09-09,09:43:36,Cancelled,643.06
107,351,20,Paneer Masala,2022-04-20,11:54:55,Delivered,469.71
108,299,23,Egg Curry,2025-09-01,05:28:55,Delivered,1086.8
109,125,8,Veg Pulao,2024-12-01,11:29:30,Delivered,403.4
110,196,16,Chicken Burger,2019-09-03,02:44:20,Cancelled,1427.77
111,354,25,Masala Omelette,2024-05-27,03:22:33,Delivered,1108.03
112,125,4,Dal Makhani,2023-11-12,11:57:13,Pending,938.84
113,1,21,Bhel Puri,2025-06-16,06:29:40,Delivered,274.22
114,199,30,Chicken Soup,2023-09-21,18:27:06,Cancelled,1008.4
115,279,16,Mutton Curry,2025-08-01,06:49:54,Cancelled,1382.17
116,210,24,Veg Cutlet,2021-10-31,03:28:22,Cancelled,588.13
117,381,22,Biryani Rice,2018-12-18,06:18:07,Delivered,1488.21
118,459,1,Rajma Chawal,2025-01-18,11:04:05,Pending,396.86
119,214,24,Chicken Biryani,2022-09-05,06:58:15,Delivered,314.68
120,131,23,Kulfi,2025-04-24,12:16:19,Delivered,419.16
121,7,29,Nihari,2025-10-13,19:44:52,Delivered,376.19
122,204,6,Vada Pav,2024-12-02,15:59:40,Pending,789.84
123,179,13,Veg Pulao,2023-01-03,18:48:01,Pending,1331.24
124,118,2,Chicken Pakora,2021-12-19,21:19:08,Delivered,608.31
125,129,30,Masala Dosa,2022-05-31,16:50:39,Delivered,182.55
126,207,6,Chicken Biryani,2024-01-25,15:14:41,Delivered,473.48
127,209,8,Chicken Burger,2025-11-02,22:02:22,Pending,96.59
128,407,16,Tandoori Fish,2019-12-26,20:16:53,Cancelled,358.12
129,39,6,Pav Bhaji,2024-01-24,10:42:48,Cancelled,86.69
130,79,28,Kadai Chicken,2024-03-13,12:55:08,Pending,1189.23
131,85,23,Masala Chai,2021-08-14,02:33:59,Pending,448.16
132,396,2,Sambar,2024-11-12,15:58:46,Delivered,1195.52
133,155,12,Gajar Halwa,2024-11-28,06:20:56,Delivered,116.87
134,54,25,Prawn Curry,2023-06-21,09:33:13,Delivered,1085.22
135,447,2,Pulao,2024-11-26,14:10:48,Cancelled,466.04
136,6,11,Butter Garlic Naan,2023-06-27,11:54:31,Delivered,916.17
137,259,17,Pav Bhaji,2019-03-11,14:29:51,Pending,301.73
138,260,20,Veg Pulao,2025-12-21,12:03:23,Cancelled,838.68
139,470,10,Chicken Tandoori,2025-07-24,01:44:22,Delivered,1096.56
140,188,7,Prawn Fry,2021-07-24,01:38:28,Cancelled,1481.37
141,414,3,Chicken Korma,2024-04-12,07:59:13,Delivered,475.11
142,359,14,Fish Curry,2024-05-14,19:24:50,Delivered,501.32
143,240,20,Paneer Tikka,2025-08-19,15:33:27,Pending,812.42
144,430,13,Gajar Halwa,2023-04-05,10:18:17,Cancelled,566.77
145,305,16,Veg Cutlet,2024-10-30,01:25:15,Pending,1164.79
146,482,26,Dahi Vada,2022-02-19,08:42:57,Delivered,760.31
147,42,2,Samosa,2022-04-22,20:54:17,Delivered,1339.72
148,232,23,Samosa,2024-09-23,13:21:39,Pending,1128.95
149,408,11,Samosa,2023-09-22,01:39:45,Pending,330.21
150,490,7,Chicken Wings,2024-05-25,11:15:09,Cancelled,897.34
151,462,1,Egg Roll,2025-05-29,21:37:03,Pending,967.19
152,463,26,Kachori,2021-10-27,15:42:00,Pending,827.71
153,464,30,Corn Bhel,2025-04-28,04:31:39,Delivered,326.67
154,479,5,Malai Kofta,2025-10-09,17:26:47,Cancelled,784.48
155,347,2,Bhindi Masala,2025-08-23,21:44:57,Delivered,487.89
156,469,26,Egg Curry,2023-10-02,12:52:09,Cancelled,858.06
157,121,18,Gajar Halwa,2024-01-21,12:04:38,Delivered,461.66
158,101,16,Vada Pav,2022-08-31,01:20:57,Pending,1129.85
159,88,2,Egg Roll,2022-05-14,20:08:25,Cancelled,593.44
160,410,7,Aloo Paratha,2024-04-20,08:04:08,Delivered,1008.11
161,425,18,Veg Fried Rice,2025-01-21,03:30:02,Delivered,344.66
162,341,13,Chicken Fry,2021-09-24,17:50:02,Pending,1344.89
163,435,9,Chicken Curry,2023-11-09,15:36:43,Delivered,1312.47
164,174,11,Veg Soup,2024-02-05,15:38:00,Delivered,1055.38
165,43,28,Chicken Pulao,2019-06-27,09:32:25,Pending,1180.67
166,18,21,Masala Paneer,2025-11-12,07:54:54,Pending,184.05
167,496,29,Pakora,2022-11-26,11:47:06,Cancelled,319.3
168,313,14,Masala Papad,2024-11-01,00:40:29,Delivered,1434.44
169,10,21,Mutton Curry,2025-01-30,22:41:59,Delivered,1479.66
170,500,8,Chicken Boti,2023-09-14,06:27:21,Delivered,1314.95
171,294,8,Gobi Manchurian,2024-09-22,21:58:31,Pending,289.78
172,432,10,Vegetable Pakora,2024-09-11,19:04:29,Pending,532.31
173,171,7,Bhindi Masala,2025-02-13,19:03:56,Delivered,1447.66
174,344,2,Chicken 65,2021-04-06,22:07:35,Cancelled,123.46
175,115,5,Chicken Lollipop,2022-02-09,13:27:28,Cancelled,1043.16
176,171,10,Chicken Roll,2025-02-09,01:56:09,Delivered,339.79
177,56,22,Bhel Puri,2023-02-22,21:16:08,Cancelled,1235.94
178,304,26,Dahi Vada,2025-11-19,21:10:51,Cancelled,623.8
179,491,21,Chicken Roll,2021-06-29,00:32:55,Delivered,629.39
180,374,11,Chicken Boti,2025-02-04,09:34:04,Delivered,173.75
181,461,23,Tandoori Fish,2024-09-17,19:43:47,Pending,826.06
182,314,24,Aloo Tikki,2025-11-06,09:31:52,Delivered,1074.35
183,10,7,Tikka Masala,2022-08-14,07:16:55,Pending,224.89
184,169,16,Egg Roll,2024-01-31,10:00:09,Delivered,955.49
185,397,28,Egg Biryani,2025-08-29,20:12:57,Cancelled,116.64
186,392,3,Gulab Jamun,2022-12-18,00:11:33,Cancelled,261.79
187,427,21,Egg Curry,2025-02-10,04:34:54,Delivered,902.27
188,339,8,Tandoori Chicken,2018-05-30,17:19:15,Cancelled,470.54
189,488,16,Chicken Tandoori,2025-01-13,11:41:12,Delivered,131.41
190,153,9,Chicken Saagwala,2023-08-27,12:56:31,Delivered,372.28
191,64,28,Egg Curry,2023-12-19,08:15:34,Delivered,666.81
192,432,4,Dal Tadka,2024-07-08,18:53:44,Cancelled,1358.12
193,376,12,Kheer,2024-02-04,09:05:32,Delivered,500.04
194,229,21,Masala Chai,2020-09-03,21:39:43,Pending,1468.21
195,23,4,Dahi Vada,2023-12-08,21:42:32,Cancelled,675.15
196,42,15,Pav Bhaji,2022-01-07,14:35:36,Cancelled,1191.63
197,220,9,Palak Paneer,2020-05-12,22:18:43,Cancelled,795.91
198,269,6,Egg Curry,2023-04-23,20:28:56,Cancelled,244.48
199,3,30,Paneer Butter Masala,2024-01-16,13:17:42,Cancelled,1090.42
200,109,1,Rava Idli,2023-01-27,02:57:37,Delivered,383.74
201,173,3,Corn Bhel,2019-03-11,18:42:57,Cancelled,1055.16
202,49,10,Veg Fried Rice,2020-05-24,03:36:49,Pending,101.05
203,352,29,Samosa,2024-01-09,04:55:34,Cancelled,1428.23
204,201,8,Veg Sandwich,2020-03-08,08:55:33,Pending,760.68
205,5,2,Paneer Bhurji,2023-01-03,03:50:24,Pending,342.05
206,323,23,Mutton Curry,2023-07-19,21:58:38,Pending,1436.75
207,283,4,Chicken Wings,2024-10-11,03:05:45,Delivered,599.69
208,360,25,Upma,2025-10-05,09:28:54,Pending,975.07
209,169,2,Lassi,2024-08-30,09:56:20,Cancelled,1296.39
210,152,27,Chicken Shawarma,2025-11-21,22:52:06,Delivered,849.55
211,81,6,Pesarattu,2025-01-22,12:20:45,Pending,1264.7
212,237,1,Gajar Halwa,2024-03-21,03:45:53,Cancelled,600.76
213,154,6,Mutton Biryani,2024-10-09,11:38:37,Delivered,474.57
214,276,29,Tikka Masala,2022-06-24,18:03:53,Pending,1242.58
215,259,6,Biryani Rice,2022-03-08,08:46:56,Cancelled,662.16
216,330,20,Chicken Burger,2022-07-12,21:56:41,Pending,1376.34
217,6,1,Chicken Pulao,2021-09-23,01:13:13,Pending,80.64
218,442,26,Chicken Seekh Kabab,2023-10-14,21:07:46,Pending,1196.28
219,468,2,Paneer Bhurji,2023-05-06,12:54:42,Pending,1481.33
220,381,5,Bhindi Masala,2020-06-12,16:20:52,Pending,568.9
221,467,8,Vegetable Pakora,2023-05-17,13:18:30,Cancelled,218.56
222,133,13,Chicken Soup,2025-08-25,11:33:49,Delivered,665.08
223,170,2,Chicken Pulao,2024-01-02,02:50:07,Pending,544.37
224,77,8,Chicken Fry,2024-12-17,02:19:48,Delivered,240.56
225,70,10,Chutney,2022-09-30,19:57:28,Cancelled,1327.73
226,371,29,Egg Roll,2022-10-18,20:31:05,Delivered,842.25
227,350,24,Kofta Curry,2025-11-17,00:48:57,Cancelled,888.53
228,95,19,Paneer Masala,2023-08-04,21:48:33,Delivered,162.94
229,54,15,Veg Soup,2025-03-07,00:13:23,Cancelled,1138.37
230,252,26,Chicken Soup,2023-09-24,14:56:21,Cancelled,803.04
231,22,22,Mutton Korma,2025-11-11,18:24:29,Delivered,192.6
232,472,1,Veg Pulao,2025-10-03,11:14:54,Pending,235.78
233,336,1,Palak Kofta,2024-10-02,22:50:30,Cancelled,596.7
234,61,14,Biryani Rice,2022-04-27,04:21:27,Delivered,312.34
235,59,19,Veg Pulao,2025-01-31,12:45:39,Delivered,512.81
236,180,4,Sambar,2025-02-28,20:47:37,Delivered,1164.76
237,101,4,Butter Chicken,2025-02-23,18:51:29,Cancelled,815.42
238,252,10,Veg Fried Rice,2021-03-24,20:57:56,Cancelled,1225.62
239,154,13,Veg Manchurian,2025-11-16,22:03:40,Cancelled,1356.52
240,269,29,Chicken Soup,2025-05-26,19:32:23,Delivered,907.63
241,212,1,Vegetable Pakora,2024-10-30,09:11:06,Pending,975.38
242,446,13,Fish Curry,2025-05-29,22:04:09,Delivered,170.04
243,282,9,Tandoori Roti,2024-06-21,00:37:34,Cancelled,819.96
244,72,10,Pav Bhaji,2025-08-24,17:22:30,Delivered,624.68
245,52,19,Chicken Pulao,2025-12-08,22:37:13,Cancelled,1000.8
246,404,17,Chicken Curry,2023-12-09,13:39:23,Cancelled,364.44
247,464,10,Aloo Tikki,2025-04-26,16:47:09,Pending,274.63
248,237,21,Palak Kofta,2025-11-25,04:14:27,Cancelled,1112.51
249,12,1,Tandoori Roti,2024-10-05,19:11:49,Cancelled,1293.93
250,33,3,Prawn Biryani,2025-11-04,01:42:13,Pending,811.77
251,115,12,Dahi Vada,2024-05-12,02:17:14,Cancelled,247.9
252,334,8,Naan,2023-04-22,03:44:28,Pending,1202.53
253,350,17,Lassi,2025-07-28,20:23:56,Pending,1429.17
254,5,3,Chicken Burger,2025-08-06,20:40:13,Delivered,1148.97
255,17,29,Momos,2024-12-22,16:51:54,Pending,724.23
256,428,12,Egg Roll,2023-03-16,12:08:32,Pending,193.05
257,490,10,Prawn Fry,2024-02-21,17:19:47,Delivered,675.62
258,287,21,Chicken Pulao,2025-02-28,03:42:54,Cancelled,273.63
259,81,28,Prawn Curry,2025-05-09,06:54:21,Delivered,292.48
260,73,3,Butter Naan,2023-08-16,15:19:04,Pending,595.29
261,52,12,Nihari,2025-05-24,02:33:47,Pending,1494.66
262,398,10,Malai Kofta,2025-12-16,12:38:26,Delivered,480.67
263,420,25,Gobi Manchurian,2022-07-08,02:21:18,Delivered,638.64
264,275,12,Palak Kofta,2023-04-03,10:14:45,Delivered,1064.57
265,27,2,Paneer Butter Masala,2025-08-25,01:55:59,Pending,540.9
266,261,27,Tandoori Chicken,2024-04-27,22:37:15,Cancelled,232.7
267,25,7,Vegetable Curry,2020-02-10,21:36:16,Pending,1405.17
268,448,14,Pulao,2025-07-23,17:41:15,Delivered,215.2
269,232,27,Chapati,2025-01-08,02:20:02,Pending,1191.83
270,200,1,Rajma Chawal,2020-08-10,13:02:05,Cancelled,1496.54
271,124,2,Palak Kofta,2025-08-21,13:55:16,Pending,1277.59
272,180,18,Kadai Chicken,2024-07-10,01:37:49,Delivered,1070.13
273,316,23,Chicken Kebabs,2025-01-13,11:50:32,Delivered,897.97
274,478,14,Masala Omelette,2021-12-29,13:27:57,Cancelled,681.3
275,376,25,Paneer Bhurji,2024-05-22,06:41:28,Delivered,584.06
276,117,22,Gobi Manchurian,2022-05-04,14:17:16,Delivered,304.08
277,445,12,Chicken Korma,2025-06-23,00:35:58,Cancelled,834.57
278,411,3,Egg Curry,2025-05-26,03:36:37,Delivered,944.15
279,233,11,Pav Bhaji,2024-05-14,03:01:47,Delivered,970.87
280,170,5,Chicken Boti,2019-08-08,10:41:12,Pending,141.88
281,358,3,Paneer Bhurji,2024-10-11,10:06:00,Pending,753.97
282,480,14,Chicken Soup,2023-11-03,10:27:19,Cancelled,1432.25
283,472,28,Gajar Halwa,2022-11-02,19:57:03,Pending,981.49
284,156,7,Chicken Pulao,2025-09-28,17:43:17,Cancelled,832.14
285,385,13,Vegetable Pakora,2025-07-28,03:02:21,Cancelled,878.45
286,63,9,Vada Pav,2022-08-04,00:07:55,Delivered,272.8
287,354,10,Egg Biryani,2025-08-07,20:44:44,Delivered,1362.27
288,35,28,Chicken Salad,2023-09-10,07:23:27,Pending,320.47
289,392,2,Chutney,2025-09-09,01:37:18,Delivered,1446.95
290,356,9,Dahi Vada,2019-02-06,13:57:49,Pending,1426.38
291,263,20,Chicken Burger,2023-11-17,09:59:28,Cancelled,983.98
292,288,29,Corn Bhel,2025-04-03,13:21:50,Cancelled,90.74
293,458,23,Prawn Fry,2021-04-14,14:26:06,Pending,978.96
294,19,3,Dal Tadka,2025-09-29,19:40:30,Cancelled,464.22
295,129,19,Sambar,2024-09-14,06:26:30,Delivered,59.65
296,232,30,Egg Biryani,2024-09-30,00:04:26,Pending,1173.53
297,332,16,Palak Paneer,2025-04-04,22:30:50,Cancelled,1491.01
298,485,18,Pani Puri,2024-06-05,11:24:00,Cancelled,1308.58
299,477,27,Pakora,2023-01-07,01:58:50,Pending,166.55
300,441,7,Pakora,2023-08-09,18:24:46,Cancelled,54.26
301,256,22,Chicken Korma,2023-06-26,20:35:38,Cancelled,749.28
302,13,13,Rajma Chawal,2024-09-27,02:22:43,Cancelled,557.54
303,75,18,Prawn Curry,2022-04-25,11:31:16,Cancelled,688.95
304,355,12,Paneer Pakora,2024-07-13,03:05:25,Pending,1026.71
305,378,22,Butter Chicken,2022-08-18,22:23:29,Cancelled,368.52
306,266,9,Paneer Pakora,2022-07-28,18:51:18,Pending,632.92
307,479,25,Pesarattu,2024-08-16,20:10:19,Delivered,97.37
308,122,1,Chicken Pulao,2024-06-15,14:57:44,Pending,784.0
309,326,10,Chicken Roll,2022-09-01,19:00:16,Pending,1160.05
310,382,5,Chicken Saagwala,2025-01-31,19:19:58,Pending,533.23
311,284,8,Veg Manchurian,2023-02-07,04:09:48,Delivered,1452.27
312,76,22,Chicken Tikka,2022-10-16,21:33:19,Pending,1012.57
313,284,24,Masala Paneer,2021-12-24,13:56:50,Cancelled,1214.26
314,179,10,Egg Roll,2020-08-02,13:37:50,Pending,104.85
315,74,30,Malabar Parotta,2025-12-14,19:18:36,Cancelled,571.9
316,323,12,Nihari,2024-05-03,10:08:42,Delivered,74.88
317,33,5,Masala Dosa,2025-07-23,09:16:54,Cancelled,259.02
318,249,13,Mutton Curry,2024-12-07,16:58:39,Delivered,590.42
319,373,22,Chicken Tandoori,2022-03-12,00:43:16,Pending,296.8
320,430,18,Corn Bhel,2024-03-04,02:44:35,Pending,656.54
321,54,12,Butter Garlic Naan,2023-06-15,20:05:39,Pending,249.09
322,494,25,Bhel Puri,2022-07-05,01:45:17,Pending,1180.24
323,20,13,Bhel Puri,2024-11-07,02:06:05,Pending,1081.44
324,446,28,Gulab Jamun,2025-07-28,04:54:42,Cancelled,689.97
325,224,16,Chicken Kebabs,2020-05-30,17:49:34,Delivered,55.28
326,255,23,Gajar Halwa,2024-09-23,16:08:00,Delivered,928.44
327,225,19,Aloo Gobi,2024-11-07,00:54:06,Cancelled,1286.47
328,482,24,Chicken Kebabs,2021-12-12,08:56:06,Pending,1114.13
329,143,26,Masala Chai,2025-01-27,07:09:20,Delivered,1431.61
330,370,9,Prawn Fry,2025-10-02,08:49:56,Delivered,316.65
331,193,28,Upma,2025-09-09,12:57:14,Delivered,103.82
332,25,29,Naan,2019-12-21,18:58:57,Cancelled,544.9
333,359,2,Dahi Vada,2024-02-12,03:52:01,Delivered,1070.39
334,376,28,Chicken Lollipop,2024-11-26,05:33:51,Pending,507.67
335,90,19,Chicken Korma,2024-02-20,01:13:41,Cancelled,1183.16
336,487,17,Gobi Manchurian,2024-07-31,13:32:57,Cancelled,705.18
337,242,9,Cheese Naan,2023-05-31,01:51:29,Delivered,261.02
338,348,11,Gulab Jamun,2023-10-19,03:26:00,Cancelled,746.77
339,463,12,Chicken Salad,2022-02-25,13:46:01,Pending,405.88
340,306,7,Gulab Jamun,2023-04-09,10:13:50,Cancelled,495.54
341,50,12,Chapati,2019-02-25,05:21:34,Pending,1316.22
342,328,9,Chicken Tikka,2025-11-11,01:32:18,Cancelled,885.76
343,450,24,Gobi Manchurian,2023-12-04,07:20:25,Cancelled,369.19
344,209,17,Gajar Halwa,2025-02-27,14:05:46,Pending,956.57
345,145,15,Mutton Curry,2025-03-28,00:01:51,Cancelled,1328.07
346,208,3,Vada Pav,2025-03-06,05:53:53,Delivered,1289.52
347,264,2,Kofta Curry,2022-01-13,19:05:07,Cancelled,932.38
348,335,27,Veg Soup,2023-09-17,16:34:35,Delivered,1375.63
349,444,28,Chicken Pulao,2021-03-04,13:17:29,Delivered,1292.42
350,140,7,Pulao,2024-08-27,10:33:03,Delivered,1325.56
351,482,5,Rajma Chawal,2023-05-07,05:00:17,Cancelled,1182.94
352,34,24,Paneer Butter Masala,2025-06-18,19:29:46,Cancelled,898.24
353,299,29,Masala Chai,2023-08-30,04:15:03,Pending,402.04
354,85,26,Chapati,2024-04-05,06:46:53,Cancelled,1021.11
355,322,19,Fish Tikka,2025-04-08,07:59:00,Delivered,520.56
356,310,25,Prawn Biryani,2022-02-14,11:57:45,Cancelled,1155.44
357,399,29,Aloo Tikki,2020-11-21,11:14:18,Pending,363.1
358,25,4,Stuffed Paratha,2025-10-05,02:49:37,Cancelled,652.72
359,374,12,Vegetable Curry,2024-02-27,17:19:02,Cancelled,583.79
360,492,24,Momos,2023-05-07,21:58:51,Pending,704.95
361,137,14,Momos,2023-01-20,18:10:33,Pending,1478.64
362,447,19,Chole Bhature,2024-12-28,15:43:22,Delivered,598.98
363,369,7,Chicken Shawarma,2024-12-19,21:49:58,Cancelled,1268.6
364,457,5,Chicken Nuggets,2022-02-10,18:34:10,Cancelled,873.68
365,388,30,Dal Makhani,2024-11-27,08:35:00,Cancelled,1157.42
366,299,19,Chicken Nuggets,2023-05-28,12:49:06,Pending,519.73
367,123,11,Gulab Jamun,2020-06-10,09:17:07,Delivered,734.97
368,470,26,Idli,2024-03-07,18:07:03,Cancelled,805.28
369,229,7,Veg Soup,2024-05-09,11:42:19,Delivered,199.08
370,278,8,Lassi,2022-12-16,01:30:54,Cancelled,1334.03
371,475,3,Chicken Seekh Kabab,2025-10-14,13:58:37,Delivered,718.37
372,479,28,Kachori,2024-04-13,10:25:33,Cancelled,663.95
373,69,11,Malabar Parotta,2025-04-28,14:00:27,Delivered,420.67
374,101,1,Chole Bhature,2025-10-31,11:31:37,Delivered,850.69
375,272,12,Kheer,2020-09-24,10:22:22,Cancelled,995.41
376,168,2,Pav Bhaji,2025-03-02,17:36:38,Delivered,892.09
377,24,26,Cheese Naan,2020-04-22,07:07:59,Delivered,1346.18
378,131,5,Chicken Pakora,2022-08-24,19:23:05,Cancelled,1428.72
379,92,7,Chicken Korma,2025-10-14,10:09:35,Pending,1164.98
380,469,25,Chicken Burger,2025-04-17,04:45:28,Delivered,796.14
381,134,7,Vegetable Pakora,2023-12-05,17:23:43,Delivered,1089.54
382,258,6,Fish Tikka,2023-09-25,17:56:43,Cancelled,202.83
